Validation Rewards,External Rewards
272672.88212907745,-3481991.259999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272871.38212907745,-3482756.959999982
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272871.38212907745,-3482756.959999982
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272826.38212907745,-3484833.659999982
272672.88212907745,-3481991.259999982
272672.88212907745,-3481991.259999982
272751.38212907745,-3481771.4199999818
272751.38212907745,-3481771.4199999818
272751.38212907745,-3481771.4199999818
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272871.38212907745,-3482756.959999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272949.88212907745,-3482537.119999982
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
272955.88212907745,-3482440.6199999815
